Topic,Sub-Category,Title,Volume,Author,Abstract,Keywords,Fdist,Hapaxes
Life Sciences,Immunology and Microbiology,"Development of event-specific qPCR detection methods for genetically modified alfalfa events J101, J163 and KK179","Biomolecular Detection and QuantificationVolume 17, March 2019, 100076",PatrickGuertleraLutzGrohmannbHeikeNaumanncMelaniePavlovicaUlrichBuscha,"Genetically modified alfalfa is authorized for cultivation in several countries since 2005. On the other hand, cultivation in or export to the European Union is not allowed and thus neither certified reference material nor official event-specific detection methods are available. Therefore, based on patent sequence information, event-specific real-time PCR detection methods targeting the junction sequence of the alfalfa genome and the transgenic insert of the respective events J101, J163 and KK179 were developed. Newly developed plasmids were used as reference material for assay optimization and in-house validation. Plasmid standards were quantified using digital droplet PCR and LOD95%, PCR efficiency, robustness and specificity of the assays were determined using real-time PCR. A LOD95% of 10 copies per PCR reaction was observed and PCR efficiencies of 95–97 % were achieved. Different real-time PCR instruments and PCR conditions were applied to test for robustness of the assays using DNA at a concentration of 30 copies per μL for each gm alfalfa event. All replicates were positive independent of the instrument or the PCR condition. DNA from certified reference material of different genetically modified crops as well as reference materials of the three events was used to experimentally test for specificity. No unspecific amplification signal was observed for any of the assays. Validation results were in line with the “Minimum Performance Requirements for Analytical Methods of GMO Testing” of the European Network of GMO Laboratories. Furthermore, an inter-laboratory comparison study was conducted to show the transferability and applicability of the methods and to verify the assay performance parameters.",AlfalfaLucerneGMOqPCRDetectionIn-house validationComparative laboratory studyMedicago sativa,"[('PCR', 9), ('reference', 4), ('alfalfa', 3), ('material', 3), ('methods', 3), ('real-time', 3), ('assays', 3), ('modified', 2), ('cultivation', 2), ('European', 2)]","['Genetically', 'authorized', 'several', 'countries', 'since', '2005', 'hand', 'export', 'Union', 'allowed', 'thus', 'neither', 'official', 'available', 'Therefore', 'based', 'patent', 'information', 'targeting', 'junction', 'genome', 'transgenic', 'insert', 'respective', 'J101', 'J163', 'KK179', 'Newly', 'plasmids', 'optimization', 'in-house', 'validation', 'Plasmid', 'standards', 'quantified', 'digital', 'droplet', 'efficiency', 'determined', 'reaction', 'efficiencies', '95–97', 'achieved', 'Different', 'instruments', 'conditions', 'applied', 'concentration', '30', 'μL', 'gm', 'event', 'All', 'replicates', 'positive', 'independent', 'instrument', 'condition', 'different', 'genetically', 'crops', 'well', 'materials', 'three', 'experimentally', 'No', 'unspecific', 'amplification', 'signal', 'Validation', 'results', 'line', '“', 'Minimum', 'Performance', 'Requirements', 'Analytical', 'Methods', 'Testing', '”', 'Network', 'Laboratories', 'Furthermore', 'inter-laboratory', 'comparison', 'study', 'conducted', 'transferability', 'applicability', 'verify', 'performance', 'parameters']"
Life Sciences,Immunology and Microbiology,Development of immunization trials against Acinetobacter baumannii,"Trials in VaccinologyVolume 5, 2016, Pages 53-60",Tarek A.AhmadabDina M.TawfikbcSalah A.SheweitacMedhatHarouncLaila H.El-Sayedb,"Acinetobacter baumannii has recently crossed all lines once considered harmless, pushing its way as a nosocomial pathogen. It had acquired resistance to almost all available chemotherapies and mainly targets intensive care residents; causing pneumonia and major outbreaks with high mortality rates. This urged the need for preventive methods, which include infection control, non-specific immune-therapy, passive, and active immunization in order to offer vulnerable immune-compromised patients a flare in the dark. Several attempts were done for constructing effective vaccines with promising results. These are precisely classified, documented, and discussed in this up-to-date review.",Nosocomial infectionAcinetobacter baumanniiVaccineImmunotherapy,"[('Acinetobacter', 1), ('baumannii', 1), ('crossed', 1), ('lines', 1), ('considered', 1), ('harmless', 1), ('pushing', 1), ('way', 1), ('nosocomial', 1), ('pathogen', 1)]","['Acinetobacter', 'baumannii', 'crossed', 'lines', 'considered', 'harmless', 'pushing', 'way', 'nosocomial', 'pathogen', 'It', 'acquired', 'resistance', 'almost', 'available', 'chemotherapies', 'mainly', 'targets', 'intensive', 'care', 'residents', 'causing', 'pneumonia', 'major', 'outbreaks', 'mortality', 'rates', 'urged', 'need', 'preventive', 'methods', 'include', 'infection', 'control', 'non-specific', 'immune-therapy', 'passive', 'active', 'immunization', 'order', 'offer', 'vulnerable', 'immune-compromised', 'patients', 'flare', 'dark', 'Several', 'attempts', 'done', 'constructing', 'effective', 'vaccines', 'promising', 'results', 'precisely', 'classified', 'documented', 'discussed', 'up-to-date', 'review']"
Life Sciences,Immunology and Microbiology,Development of immunization trials against Eimeria spp.,"Trials in VaccinologyVolume 5, 2016, Pages 38-47",Tarek A.AhmadabBassant A.El-SayedcLaila H.El-Sayedb,"Coccidiosis is a major intestinal disease affecting economically valuable livestock animals such as chickens and turkeys. Economic losses are associated with decreased productivity in afflicted animals. The different Eimeria spp. are the main etiologic agents for that virulent disease. The usefulness of prophylactic and therapeutic anticoccidial compounds has decreased in recent years due to the emergence of drug resistance in Eimeria, together with their possible toxic effect to the human consumers. Despite that, biosecurity and disinfection measures are the cornerstone to control the emergence of the pathogen, the immunization methods proved to be more practical and promising to prevent outbreaks due to coccidia. Since the early 1950s, several attempts were followed to formulate commercial immunotherapies, but up till now none proved to be sufficient. This review summarizes, classifies, and evaluates the trials performed to prevent avian coccidiosis, thereafter introduces an out of frame scientific strategy to find a solution for that emerging parasite.",Avian coccidiosisEimeriaVaccineImmunotherapyPoultry,"[('disease', 2), ('animals', 2), ('decreased', 2), ('Eimeria', 2), ('emergence', 2), ('proved', 2), ('prevent', 2), ('Coccidiosis', 1), ('major', 1), ('intestinal', 1)]","['Coccidiosis', 'major', 'intestinal', 'affecting', 'economically', 'valuable', 'livestock', 'chickens', 'turkeys', 'Economic', 'losses', 'associated', 'productivity', 'afflicted', 'different', 'spp', 'etiologic', 'agents', 'virulent', 'usefulness', 'prophylactic', 'therapeutic', 'anticoccidial', 'compounds', 'recent', 'years', 'drug', 'resistance', 'together', 'possible', 'toxic', 'effect', 'human', 'consumers', 'Despite', 'biosecurity', 'disinfection', 'measures', 'cornerstone', 'control', 'pathogen', 'immunization', 'methods', 'practical', 'promising', 'outbreaks', 'coccidia', 'Since', 'early', '1950s', 'several', 'attempts', 'followed', 'formulate', 'commercial', 'immunotherapies', 'till', 'sufficient', 'review', 'summarizes', 'classifies', 'evaluates', 'trials', 'performed', 'avian', 'coccidiosis', 'thereafter', 'introduces', 'frame', 'scientific', 'strategy', 'find', 'solution', 'emerging', 'parasite']"
Life Sciences,Immunology and Microbiology,Diagnosing tuberculosis in the 21st century – Dawn of a genomics revolution?,"International Journal of MycobacteriologyVolume 5, Issue 4, December 2016, Pages 384-391",ChristopherJeanesJustinO’Grady,"Tuberculosis (TB) ranks alongside HIV as the leading cause of death worldwide, killing 1.5 million people in 2014. Traditional laboratory techniques do not provide sufficiently rapid results to inform clinicians on appropriate treatment, especially in the face of increasingly prevalent drug-resistant TB. Rapid molecular methods such as PCR and LAMP are vital tools in the fight against TB, however, rapid advances in next generation sequencing (NGS) technology are allowing increasingly rapid and accurate sequencing of entire bacterial genomes at ever decreasing cost, providing unprecedented depth of information. These advances mean NGS stands to revolutionise the diagnosis and epidemiological study of Mycobacterium tuberculosis infection. This review focuses on current applications of NGS for TB diagnosis including sequencing cultured isolates to predict drug resistance and, more desirably, direct diagnostic metagenomic sequencing of clinical samples. Also discussed is the potential impact of NGS on the epidemiological study of TB and some of the key challenges that need to be overcome to enable this promising technology to be translated into routine use.",TuberculosisDiagnosticsWhole genome sequencingNext generation sequencingGenomics,"[('TB', 5), ('sequencing', 4), ('NGS', 4), ('rapid', 3), ('increasingly', 2), ('advances', 2), ('technology', 2), ('diagnosis', 2), ('epidemiological', 2), ('study', 2)]","['Tuberculosis', 'ranks', 'alongside', 'HIV', 'leading', 'cause', 'death', 'worldwide', 'killing', '1.5', 'million', 'people', 'Traditional', 'laboratory', 'techniques', 'provide', 'sufficiently', 'results', 'inform', 'clinicians', 'appropriate', 'treatment', 'especially', 'face', 'prevalent', 'drug-resistant', 'Rapid', 'molecular', 'methods', 'PCR', 'LAMP', 'vital', 'tools', 'fight', 'however', 'next', 'generation', 'allowing', 'accurate', 'entire', 'bacterial', 'genomes', 'ever', 'decreasing', 'cost', 'providing', 'unprecedented', 'depth', 'information', 'mean', 'stands', 'revolutionise', 'Mycobacterium', 'tuberculosis', 'infection', 'review', 'focuses', 'current', 'applications', 'including', 'cultured', 'isolates', 'predict', 'drug', 'resistance', 'desirably', 'direct', 'diagnostic', 'metagenomic', 'clinical', 'samples', 'Also', 'discussed', 'potential', 'impact', 'key', 'challenges', 'need', 'overcome', 'enable', 'promising', 'translated', 'routine']"
Life Sciences,Immunology and Microbiology,Efficacy and safety of a new intradermal PCV2 vaccine in pigs,"Trials in VaccinologyVolume 5, 2016, Pages 24-31",M.SnoE.CoxH.HoltslagT.NellS.PelR.SegersV.FachingerM.Witvliet,"The safety and efficacy of a new intradermal one dose vaccine containing Porcine Circovirus type 2 (PCV2) antigen – Porcilis® PCV ID – was evaluated in laboratory studies and under field conditions. In addition, the concurrent use with an intradermal Mycoplasma hyopneumoniae vaccine – Porcilis® M Hyo ID ONCE – was evaluated.Vaccination with Porcilis® PCV ID resulted in small transient local reactions in a high percentage of the vaccinated animals with no temperature increase. In both the onset of immunity and duration of immunity challenge studies with PCV2 or M. hyopneumoniae, significant reduction of the PCV2 load in lymphoid tissue, lungs, serum and fecal swabs and M. hyopneumoniae-induced lung lesions were observed. In two field trials on two different farms where both PCV2 and M. hyopneumoniae were present, vaccination with Porcilis® PCV ID and/or Porcilis® M Hyo ID ONCE of 3 week old piglets resulted in a significant reduction of PCV2 viraemia, mortality and lung lesion scores at slaughter. In addition, a significant positive effect on average daily weight gain (between 44 and 59 g/day) in the finishing phase was observed. The results support that this new intradermal vaccine is safe and efficacious against PCV2 and may be used concurrently with Porcilis® M Hyo ID ONCE.",Porcine CircovirusPCV2Intradermal vaccinationMycoplasma hyopneumoniae,"[('PCV2', 6), ('Porcilis®', 6), ('ID', 6), ('intradermal', 3), ('vaccine', 3), ('PCV', 3), ('hyopneumoniae', 3), ('Hyo', 3), ('ONCE', 3), ('significant', 3)]","['safety', 'efficacy', 'dose', 'containing', 'Porcine', 'Circovirus', 'type', '2', 'antigen', 'evaluated', 'laboratory', 'conditions', 'concurrent', 'Mycoplasma', 'evaluated.Vaccination', 'small', 'transient', 'local', 'reactions', 'percentage', 'vaccinated', 'animals', 'temperature', 'increase', 'onset', 'duration', 'challenge', 'load', 'lymphoid', 'tissue', 'lungs', 'serum', 'fecal', 'swabs', 'hyopneumoniae-induced', 'lesions', 'trials', 'different', 'farms', 'present', 'vaccination', 'and/or', 'week', 'old', 'piglets', 'viraemia', 'mortality', 'lesion', 'scores', 'slaughter', 'positive', 'effect', 'average', 'daily', 'weight', 'gain', '44', '59', 'g/day', 'finishing', 'phase', 'results', 'support', 'safe', 'efficacious', 'concurrently']"
Life Sciences,Immunology and Microbiology,Extrapulmonary tuberculosis among females in South Asia—gap analysis,"International Journal of MycobacteriologyVolume 5, Issue 4, December 2016, Pages 392-399",JaishriMehrajabZain YarKhancDania KhalidSaeeddSadiaShakoordRuminaHasand,"The percentage of extrapulmonary tuberculosis (EPTB) among new and relapse tuberculosis cases in South Asia (Afghanistan, Pakistan, India, and Bangladesh) ranged from 19% to 23% in 2014. While tuberculosis was reportedly more prevalent in males, a higher preponderance of EPTB was observed in females. National tuberculosis control programs are highly focused on pulmonary tuberculosis. This creates gaps in the surveillance, diagnosis, and study of EPTB among females, which is especially pronounced in the South Asian setting. We have reviewed recently published literatures from January 2010 to June 2016 reporting EPTB in females with a view to evaluate the current epidemiology, risk factors, diagnostic modalities, and treatment outcomes. We report significant gaps in the surveillance of EPTB among women in South Asia, emphasizing the need for greater focus on EPTB in females to overcome current surveillance and knowledge gaps.",TuberculosisFemalesFemale:male ratioSouth Asia,"[('EPTB', 6), ('tuberculosis', 5), ('females', 4), ('South', 3), ('gaps', 3), ('surveillance', 3), ('Asia', 2), ('current', 2), ('percentage', 1), ('extrapulmonary', 1)]","['percentage', 'extrapulmonary', 'new', 'relapse', 'cases', 'Afghanistan', 'Pakistan', 'India', 'Bangladesh', 'ranged', '2014', 'While', 'reportedly', 'prevalent', 'males', 'higher', 'preponderance', 'observed', 'National', 'control', 'programs', 'highly', 'focused', 'pulmonary', 'creates', 'diagnosis', 'study', 'especially', 'pronounced', 'Asian', 'setting', 'reviewed', 'published', 'literatures', 'January', 'June', '2016', 'reporting', 'view', 'evaluate', 'epidemiology', 'risk', 'factors', 'diagnostic', 'modalities', 'treatment', 'outcomes', 'report', 'significant', 'women', 'emphasizing', 'need', 'greater', 'focus', 'overcome', 'knowledge']"
Life Sciences,Immunology and Microbiology,"Fluoroquinolone consumption and -resistance trends in Mycobacterium tuberculosis and other respiratory pathogens: Ecological antibiotic pressure and consequences in Pakistan, 2009–2015","International Journal of MycobacteriologyVolume 5, Issue 4, December 2016, Pages 412-416",S.ShakooraS.TahseenbK.JabeenaR.FatimacF.R.MalikaA.H.RizvibR.Hasana,"Objective/backgroundFluoroquinolones (FQs) are important anti-tuberculous drugs for the treatment of multidrug-resistant (MDR) tuberculosis. Resistance to FQs leads to fewer options for treatment of tuberculosis (TB), and infection with such strains may also require longer treatment duration. Trends of resistance in Mycobacterium tuberculosis (MTB) are indicators of MTB-resistance evolution. Drivers of such resistance need to be understood and studied to inform preventive strategies.MethodsHere, we present FQ-resistance rates and trends in Pakistan from 2010 to 2015 and compare rates with FQ-consumption data and rates in other community pathogens.ResultsOur results reveal a recent decrease in FQ-resistance rates in MTB, but an increase in resistance for Haemophilus influenzae and Shigella spp. Correlation of FQ resistance with FQ consumption at the population level was weak for MTB, although strong associations were noted for H. influenzae and Shigella spp.ConclusionWe discuss the possible reasons for the decrease in resistance rates in TB, putative drivers of resistance other than volume of FQ consumption, and the possible impact of the National Tuberculosis Programme and drug regulatory activities.",ConsumptionDefined daily doseFluoroquinoloneResistanceSelective pressureTuberculosis,"[('resistance', 6), ('rates', 5), ('treatment', 3), ('tuberculosis', 3), ('MTB', 3), ('FQ', 3), ('FQs', 2), ('TB', 2), ('FQ-resistance', 2), ('decrease', 2)]","['Objective/backgroundFluoroquinolones', 'important', 'anti-tuberculous', 'drugs', 'multidrug-resistant', 'MDR', 'Resistance', 'leads', 'fewer', 'options', 'infection', 'strains', 'require', 'longer', 'duration', 'Trends', 'Mycobacterium', 'indicators', 'MTB-resistance', 'evolution', 'Drivers', 'need', 'understood', 'studied', 'inform', 'preventive', 'strategies.MethodsHere', 'present', 'trends', 'Pakistan', '2015', 'compare', 'FQ-consumption', 'data', 'community', 'pathogens.ResultsOur', 'results', 'reveal', 'recent', 'increase', 'Haemophilus', 'spp', 'Correlation', 'population', 'level', 'weak', 'although', 'strong', 'associations', 'noted', 'spp.ConclusionWe', 'discuss', 'reasons', 'putative', 'drivers', 'volume', 'impact', 'National', 'Tuberculosis', 'Programme', 'drug', 'regulatory', 'activities']"
Life Sciences,Immunology and Microbiology,Immunogenic multistage recombinant protein vaccine confers partial protection against experimental toxoplasmosis mimicking natural infection in murine model,"Trials in VaccinologyVolume 5, 2016, Pages 15-23",YaprakGedikabcSultanGülçe İzaHüseyinCandAysuDeğirmenci DöşkayabS.İsmet Deliloğlu GürhanaYükselGürüzbMertDöşkayab,"Toxoplasma gondii is a protozoan parasite that can infect warm-blooded animals including humans. Vaccination studies mostly use tachyzoite specific proteins however in natural route of infection, toxoplasmosis initiates with tissue cysts (bradyzoites) or oocysts (sporozoites) and thereafter stage conversion takes place where the tachyzoites take action and cause acute infection continues with tachyzoites. Despite this knowledge, challenging models used in the vaccination studies prefer administration of tissue cyst forming strains intraperitoneally or subcutaneously instead of oral administration which is the natural route of infection. In the present study, a multivalent adjuvanted recombinant protein vaccine that contains bradyzoite specific BAG1 and tachyzoite specific GRA1 protein and controls were administered to female Swiss Webster outbred mice. Humoral and cellular immune responses were analyzed by Rec-ELISA, Western blot, and flow cytometry. Mice were infected orally with T. gondii PRU strain tissue cysts using feeding needle to mimic the natural route of infection. 40 days after challenging microscopy and Real Time PCR were performed to determine the protection level.Analysis of sera obtained from vaccinated mice showed strong anti-BAG1 and anti-GRA1 IgG responses. The IgG2a response was significantly higher (P < 0.0001) and the ratio of CD8 + T lymphocytes secreting IFN-γ almost doubled compared to PBS control which are indicative of protection against toxoplasmosis. The amount of tissue cysts in vaccinated group was reduced 10.5% compared to control group.To generate a protective vaccine against toxoplasmosis, multistage vaccines and usage of challenging models mimicking natural route of infection are critical cornerstones. In this study, we generated a BAG1 and GRA1 multistage vaccine that induced strong immune response in which the protection was not at anticipated level. In addition, the murine model was orally challenged with tissue cysts to mimic natural route of infection.",Toxoplasma gondiiRecombinant protein vaccineBAG1GRA1,"[('infection', 6), ('natural', 5), ('route', 5), ('tissue', 5), ('cysts', 4), ('specific', 3), ('toxoplasmosis', 3), ('challenging', 3), ('vaccine', 3), ('protection', 3)]","['Toxoplasma', 'protozoan', 'parasite', 'infect', 'warm-blooded', 'animals', 'including', 'humans', 'Vaccination', 'mostly', 'proteins', 'however', 'initiates', 'bradyzoites', 'oocysts', 'sporozoites', 'thereafter', 'stage', 'conversion', 'takes', 'place', 'take', 'action', 'cause', 'acute', 'continues', 'Despite', 'knowledge', 'vaccination', 'prefer', 'cyst', 'forming', 'strains', 'intraperitoneally', 'subcutaneously', 'instead', 'oral', 'present', 'multivalent', 'adjuvanted', 'recombinant', 'contains', 'bradyzoite', 'controls', 'administered', 'female', 'Swiss', 'Webster', 'outbred', 'Humoral', 'cellular', 'analyzed', 'Rec-ELISA', 'Western', 'blot', 'flow', 'cytometry', 'Mice', 'infected', 'T.', 'PRU', 'strain', 'feeding', 'needle', 'days', 'microscopy', 'Real', 'Time', 'PCR', 'performed', 'determine', 'level.Analysis', 'sera', 'obtained', 'showed', 'anti-BAG1', 'anti-GRA1', 'IgG', 'IgG2a', 'significantly', 'higher', 'P', '0.0001', 'ratio', 'CD8', '+', 'T', 'lymphocytes', 'secreting', 'IFN-γ', 'almost', 'doubled', 'PBS', 'indicative', 'amount', 'group', 'reduced', '10.5', 'group.To', 'generate', 'protective', 'vaccines', 'usage', 'mimicking', 'critical', 'cornerstones', 'generated', 'induced', 'anticipated', 'level', 'addition', 'murine', 'model', 'challenged']"
Life Sciences,Immunology and Microbiology,Immunogenicity and safety of a quadrivalent influenza vaccine in children and adolescents in Taiwan: A phase III open-label trial,"Trials in VaccinologyVolume 5, 2016, Pages 48-52",Chun-YiLuaChantalFerracinb1Cheng-HsunChiucNathalieLavisbChiung-HuaHuangdLi-MinHuanga,"Until recently, all seasonal influenza vaccines have been trivalent, containing strains A(H1N1), A(H3N2), and one of the two B strain lineages (Yamagata or Victoria), resulting in frequent mismatches between the circulating B strain lineage and that included in the vaccine. A quadrivalent, inactivated, split-virion influenza vaccine (IIV4) containing strains from both B lineages has been developed to address this. We performed an open-label phase III study to assess the immunogenicity and safety of the 2013–2014 Northern Hemisphere formulation of IIV4 in children and adolescents 9–17 years of age in Taiwan. Participants were vaccinated with one dose of IIV4 by intramuscular or deep subcutaneous injection. Hemagglutinin inhibition (HAI) titers were measured before and 21 days after vaccination. Solicited injection-site and systemic reactions were assessed for up to 7 days after vaccination, and adverse events (AEs) were recorded until day 21. One hundred participants were included. Despite relatively high pre-vaccination titers, post-vaccination HAI titers increased for all four strains, with geometric mean ratios (day 21/day 0) of 2.29 for A(H1N1), 2.05 for A(H3N2), 3.33 for B/Massachusetts (Yamagata lineage), and 4.59 for B/Brisbane (Victoria lineage). Post-vaccination seroprotection rates were 99% for A(H3N2) and 100% for A(H1N1), B/Massachusetts, and B/Brisbane. Due to high pre-vaccination titers, rates of seroconversion/significant increase of HAI titer were relatively low at 24% for A(H1N1), 20% for A(H3N2), 39% for B/Massachusetts, and 48% for B/Brisbane. Injection-site pain (56%), myalgia (45%), and malaise (15%) were the most frequently reported solicited reactions, and most solicited reactions were mild or moderate. No treatment-related AEs, immediate unsolicited AEs, unsolicited non-serious injection-site AEs, grade 3 unsolicited AEs, or serious AEs were reported. In conclusion, this study showed that the 2013–2014 Northern Hemisphere formulation of the intramuscular IIV4 was immunogenic and well tolerated by children and adolescents 9–17 years of age.",Quadrivalent influenza vaccineChildrenAdolescents,"[('AEs', 6), ('H1N1', 4), ('H3N2', 4), ('IIV4', 4), ('titers', 4), ('strains', 3), ('lineage', 3), ('HAI', 3), ('reactions', 3), ('B/Massachusetts', 3)]","['Until', 'seasonal', 'vaccines', 'trivalent', 'resulting', 'frequent', 'mismatches', 'circulating', 'quadrivalent', 'inactivated', 'split-virion', 'developed', 'address', 'performed', 'open-label', 'phase', 'III', 'assess', 'immunogenicity', 'safety', 'Taiwan', 'Participants', 'vaccinated', 'dose', 'deep', 'subcutaneous', 'injection', 'Hemagglutinin', 'inhibition', 'measured', 'Solicited', 'systemic', 'assessed', 'adverse', 'events', 'recorded', 'One', 'hundred', 'participants', 'Despite', 'post-vaccination', 'increased', 'four', 'geometric', 'mean', 'ratios', '21/day', '0', '2.29', '2.05', '3.33', '4.59', 'Post-vaccination', 'seroprotection', '99', '100', 'Due', 'seroconversion/significant', 'increase', 'titer', '24', '20', '39', '48', 'Injection-site', 'pain', '56', 'myalgia', '45', 'malaise', 'frequently', 'mild', 'moderate', 'No', 'treatment-related', 'immediate', 'non-serious', 'grade', 'serious', 'conclusion', 'showed', 'immunogenic', 'well', 'tolerated']"
Life Sciences,Immunology and Microbiology,Immunogenicity in dogs and protection against visceral leishmaniasis induced by a 14 kDa Leishmania infantum recombinant polypeptide,"Trials in VaccinologyVolume 5, 2016, Pages 1-7",ClaudiaAbeijonaNadaDaifallabGreiceKrautz-PetersoncStefanoPizziranicGillianBeamercNeuza M.Frazatti-GallinadIsaiasRawdAntonioCampos-Netoab,"In areas were human visceral leishmaniasis (VL) is endemic, the domestic dog is the main parasite reservoir in the infectious cycle of Leishmania infantum. Development of prophylactic strategies to lower the parasite burden in dogs would reduce sand fly transmission thus lowering the incidence of zoonotic VL. Here we demonstrate that vaccination of dogs with a recombinant 14 kDa polypeptide of L. infantum nuclear transport factor 2 (Li-ntf2) mixed with adjuvant BpMPLA-SE resulted in the production of specific anti-Li-ntf2 IgG antibodies as well as IFN-γ release by the animals’ peripheral blood mononuclear cells stimulated with the antigen. In addition, immunization with this single and small 14 kDa polypeptide resulted in protracted progression of the infection of the animals after challenging with a high dose of virulent L. infantum. Five months after challenge the parasite load was lower in the bone marrow of immunized dogs compared to non-immunized animals. The antibody response to K39, a marker of active VL, at ten months after challenge was strong and significantly higher in the control dogs than in vaccinated animals. At the study termination vaccinated animals showed significantly more liver granulomas and lymphoid hyperplasia than non-vaccinated animals, which are both histological markers of resistance to infection. Together, these results indicate that the 14 kDa polypeptide is an attractive protective molecule that can be easily incorporated in a leishmanial polyprotein vaccine candidate to augment/complement the overall protective efficacy of the final product.",DogVisceral leishmaniasisVaccineLeishmania infantumL. infantum nuclear transport factor 2,"[('animals', 6), ('dogs', 4), ('VL', 3), ('parasite', 3), ('infantum', 3), ('kDa', 3), ('polypeptide', 3), ('lower', 2), ('resulted', 2), ('infection', 2)]","['areas', 'human', 'visceral', 'leishmaniasis', 'endemic', 'domestic', 'dog', 'reservoir', 'infectious', 'cycle', 'Leishmania', 'Development', 'prophylactic', 'strategies', 'burden', 'reduce', 'sand', 'fly', 'transmission', 'thus', 'lowering', 'incidence', 'zoonotic', 'Here', 'demonstrate', 'vaccination', 'recombinant', 'nuclear', 'transport', 'factor', '2', 'Li-ntf2', 'mixed', 'adjuvant', 'BpMPLA-SE', 'production', 'specific', 'anti-Li-ntf2', 'IgG', 'antibodies', 'well', 'IFN-γ', 'release', '’', 'peripheral', 'blood', 'mononuclear', 'cells', 'stimulated', 'antigen', 'addition', 'immunization', 'single', 'small', 'protracted', 'progression', 'challenging', 'dose', 'virulent', 'Five', 'load', 'bone', 'marrow', 'immunized', 'compared', 'non-immunized', 'antibody', 'response', 'K39', 'marker', 'active', 'ten', 'strong', 'higher', 'control', 'study', 'termination', 'showed', 'liver', 'granulomas', 'lymphoid', 'hyperplasia', 'non-vaccinated', 'histological', 'markers', 'resistance', 'Together', 'results', 'indicate', 'attractive', 'molecule', 'easily', 'incorporated', 'leishmanial', 'polyprotein', 'vaccine', 'candidate', 'augment/complement', 'overall', 'efficacy', 'final', 'product']"
Life Sciences,Immunology and Microbiology,Investigation of direct counting and sizing of DNA fragments in flow applying an improved data analysis and correction method,"Biomolecular Detection and QuantificationVolume 17, March 2019, 100083",MartinHusselsSusanneEngelNicoleBock,"Direct detection of single stained DNA fragments in flow is a very sensitive method for nucleic acid detection which does not need any amplification process. We have developed an instrument for direct counting and sizing of single DNA fragments (single or double stranded DNA) in flow with integrated sample volume measurement for concentration determination. As the method is a potential reference method for DNA quantification, processes affecting the measurement uncertainty are of major interest. Additionally, comparison of this method to the orthogonal method of digital PCR is useful with the restriction of low specificity of the direct detection method. In this study, we analysed raw detector signals and the sizing performance for target identification and the effect of coincidence detection concerning concentration measurements. We present data of purified artificial DNA samples measured with the home-built setup. Main emphasis was to develop an improved data analysis method to gain insight into and carefully correct for coincident detection of DNA fragments and for estimation of the amount of fragment dimers.",Molecular quantificationMetrologyEnumeration based quantificationDNA-copy concentrationFlow cytometric countingdPCR,"[('method', 7), ('DNA', 6), ('detection', 5), ('single', 3), ('fragments', 3), ('flow', 2), ('direct', 2), ('sizing', 2), ('measurement', 2), ('concentration', 2)]","['Direct', 'stained', 'sensitive', 'nucleic', 'acid', 'need', 'amplification', 'process', 'developed', 'instrument', 'counting', 'double', 'stranded', 'integrated', 'sample', 'volume', 'determination', 'As', 'potential', 'reference', 'quantification', 'processes', 'affecting', 'uncertainty', 'major', 'interest', 'Additionally', 'comparison', 'orthogonal', 'digital', 'PCR', 'useful', 'restriction', 'specificity', 'study', 'analysed', 'raw', 'detector', 'signals', 'performance', 'target', 'identification', 'effect', 'coincidence', 'concerning', 'measurements', 'present', 'purified', 'artificial', 'samples', 'measured', 'home-built', 'setup', 'Main', 'emphasis', 'develop', 'improved', 'analysis', 'gain', 'insight', 'carefully', 'correct', 'coincident', 'estimation', 'amount', 'fragment', 'dimers']"
Life Sciences,Immunology and Microbiology,Mycobacterial contamination of bronchoscopes: Challenges and possible solutions in low resource settings,"International Journal of MycobacteriologyVolume 5, Issue 4, December 2016, Pages 408-411",Dania KhalidSaeedSadiaShakoorSeemaIrfanRuminaHasan,"The use of bronchoscopes has increased in tuberculosis (TB) diagnostics to circumvent the diagnostic challenges that are associated with low sputum volume and smear-negative TB. In healthcare facilities situated in low income countries that have a high burden of TB, adequate decontamination of bronchoscopes is a challenge and often overlooked to save on time and costs. This amplifies the risk of outbreaks and pseudo-outbreaks due to Mycobacterium tuberculosis and nontuberculosis mycobacteria. In this minireview, we review published literature of contaminated bronchoscopes causing pseudo-outbreaks of M. tuberculosis and nontuberculosis mycobacteria in an effort to determine common sources, and possible mitigation strategies in low-resource settings.",Contaminated bronchoscopesPseudo-outbreaksMycobacterium tuberculosisNon-tuberculosis mycobacteria,"[('bronchoscopes', 3), ('tuberculosis', 3), ('TB', 3), ('pseudo-outbreaks', 2), ('nontuberculosis', 2), ('mycobacteria', 2), ('increased', 1), ('diagnostics', 1), ('circumvent', 1), ('diagnostic', 1)]","['increased', 'diagnostics', 'circumvent', 'diagnostic', 'challenges', 'associated', 'sputum', 'volume', 'smear-negative', 'healthcare', 'facilities', 'situated', 'income', 'countries', 'burden', 'adequate', 'decontamination', 'challenge', 'often', 'overlooked', 'save', 'time', 'costs', 'amplifies', 'risk', 'outbreaks', 'Mycobacterium', 'minireview', 'review', 'published', 'literature', 'contaminated', 'causing', 'effort', 'determine', 'common', 'sources', 'possible', 'mitigation', 'strategies', 'low-resource', 'settings']"
